DEN,DEN @ MIN,11/21/2018,W,48,103,42,89,47.2,14,35,40,5,6,83.3,9,31,40,29,14,12,4,22,2
LAL,LAL @ CLE,11/21/2018,W,48,109,40,78,51.3,9,25,36,20,28,71.4,7,44,51,23,15,2,9,20,4
HOU,HOU vs. DET,11/21/2018,W,48,126,40,72,55.6,13,33,39.4,33,36,91.7,5,31,36,18,15,8,7,25,2
MEM,MEM @ SAS,11/21/2018,W,48,104,39,81,48.1,8,25,32,18,21,85.7,4,36,40,21,9,4,6,25,1
UTA,UTA vs. SAC,11/21/2018,L,48,110,38,88,43.2,12,39,30.8,22,31,71,12,34,46,21,10,7,7,21,-9
PHI,PHI vs. NOP,11/21/2018,W,48,121,44,98,44.9,10,29,34.5,23,26,88.5,11,36,47,27,16,7,7,26,1
NOP,NOP @ PHI,11/21/2018,L,48,120,42,98,42.9,11,30,36.7,25,33,75.8,20,34,54,24,15,8,8,21,-1
BOS,BOS vs. NYK,11/21/2018,L,48,109,38,97,39.2,10,33,30.3,23,32,71.9,15,35,50,30,8,10,9,16,-8
ATL,ATL vs. TOR,11/21/2018,L,48,108,42,93,45.2,10,36,27.8,14,18,77.8,9,25,34,24,9,10,7,21,-16
TOR,TOR @ ATL,11/21/2018,W,48,124,48,90,53.3,11,29,37.9,17,23,73.9,14,41,55,33,19,6,1,21,16
SAS,SAS vs. MEM,11/21/2018,L,48,103,35,81,43.2,7,22,31.8,26,30,86.7,9,33,42,21,9,4,5,20,-1
IND,IND @ CHA,11/21/2018,L,48,109,41,84,48.8,11,33,33.3,16,17,94.1,10,27,37,26,14,5,7,19,-18
OKC,OKC @ GSW,11/21/2018,W,48,123,51,106,48.1,13,35,37.1,8,15,53.3,18,43,61,29,10,10,5,23,28
PHX,PHX @ CHI,11/21/2018,L,48,116,48,98,49,10,34,29.4,10,10,100,6,30,36,28,13,9,5,20,-8
DAL,DAL vs. BKN,11/21/2018,W,48,119,38,78,48.7,11,27,40.7,32,41,78,8,37,45,21,13,10,4,20,6
